o_hom	e_hom	nm	miss
286381	2.86E+05	350944	0.0008313
285590	2.86E+05	350933	0.0008627
287017	2.86E+05	350911	0.0009253
287238	2.86E+05	350888	0.0009908
286285	2.86E+05	350939	0.0008456
286599	2.86E+05	350930	0.0008712
287313	2.86E+05	350882	0.001008
286696	2.86E+05	350921	0.0008968
286406	2.86E+05	350849	0.001102
285922	2.86E+05	350842	0.001122
286630	2.86E+05	350857	0.001079
286720	2.86E+05	350944	0.0008313
285359	2.86E+05	350959	0.0007886
286747	2.86E+05	350917	0.0009082
287242	2.86E+05	350975	0.0007431
286224	2.86E+05	350996	0.0006833
286279	2.86E+05	350813	0.001204
286210	2.86E+05	351025	0.0006007
287390	2.86E+05	350903	0.0009481
286417	2.86E+05	350710	0.001498
286202	2.86E+05	350987	0.0007089
285827	2.86E+05	350925	0.0008854
286132	2.86E+05	350889	0.0009879
286161	2.86E+05	350934	0.0008598
287161	2.86E+05	350892	0.0009794
285556	2.86E+05	350840	0.001127
286618	2.86E+05	350841	0.001125
286190	2.86E+05	350863	0.001062
286166	2.86E+05	350944	0.0008313
288280	2.86E+05	350953	0.0008057
287289	2.86E+05	350873	0.001033
285960	2.86E+05	350871	0.001039
286668	2.86E+05	350991	0.0006975
286910	2.86E+05	350833	0.001147
285968	2.86E+05	350923	0.0008911
287081	2.86E+05	351004	0.0006605
285160	2.86E+05	350929	0.0008741
286076	2.86E+05	350874	0.001031
286274	2.86E+05	350713	0.001489
287715	2.86E+05	351030	0.0005865
285677	2.86E+05	350892	0.0009794
286046	2.86E+05	350845	0.001113
287480	2.86E+05	350969	0.0007602
286421	2.86E+05	350886	0.0009965
288197	2.86E+05	350911	0.0009253
286923	2.86E+05	350579	0.001871
285724	2.86E+05	350831	0.001153
286083	2.86E+05	350190	0.002978
286200	2.86E+05	350882	0.001008
286345	2.86E+05	350974	0.0007459
285535	2.85E+05	349060	0.006195
286375	2.86E+05	350923	0.0008911
286944	2.86E+05	350929	0.0008741
287165	2.86E+05	350917	0.0009082
286069	2.86E+05	350886	0.0009965
286268	2.86E+05	350878	0.001019
286028	2.86E+05	350691	0.001552
287202	2.86E+05	350928	0.0008769
286645	2.86E+05	350704	0.001515
286608	2.86E+05	351021	0.0006121
286105	2.86E+05	350831	0.001153
286043	2.86E+05	350899	0.0009595
283174	2.83E+05	346770	0.01272
286060	2.86E+05	350876	0.001025
286141	2.86E+05	350894	0.0009737
286336	2.86E+05	350620	0.001754
285669	2.86E+05	350839	0.00113
286611	2.86E+05	350939	0.0008456
286276	2.86E+05	350844	0.001116
287967	2.86E+05	350979	0.0007317
285227	2.84E+05	348535	0.00769
286197	2.86E+05	350343	0.002542
285734	2.86E+05	350781	0.001295
285962	2.86E+05	350199	0.002952
286501	2.86E+05	350723	0.001461
286660	2.86E+05	350990	0.0007004
286454	2.86E+05	350439	0.002269
286581	2.86E+05	350934	0.0008598
286701	2.86E+05	350880	0.001014
286891	2.86E+05	350787	0.001278
286158	2.86E+05	350994	0.000689
285838	2.86E+05	350785	0.001284
286418	2.86E+05	350867	0.001051
286677	2.86E+05	350659	0.001643
