X	Y
0.526913336	0.591995402
0.53364708	0.595299795
0.533018526	0.59250607
0.536024409	0.597521215
0.53323065	0.593463355
0.537054509	0.596973957
0.532107273	0.594974753
0.537284497	0.588735872
0.540722643	0.58979096
0.537236333	0.59662862
0.530435305	0.597248147
0.534609946	0.594260464
0.531060062	0.59471164
0.534650535	0.592695328
0.535837294	0.593489048
0.538708021	0.596048733
0.532965073	0.596908234
0.536036742	0.592110705
0.534911081	0.591132061
0.535862539	0.59634797
0.530496755	0.594615369
0.52913022	0.59213535
0.532016345	0.587996025
0.533090427	0.591856781
0.535716825	0.595464458
0.533868147	0.594560101
0.537360499	0.592918524
0.532183374	0.591818864
0.536629991	0.595445223
0.537873023	0.593787167
0.536195926	0.596427807
0.535394146	0.596904597
0.528265539	0.590522918
0.536912815	0.595808262
0.534132527	0.591441354
0.532046096	0.593833934
0.534779005	0.595957128
0.53492244	0.578125686
0.53641124	0.58280103
0.525557053	0.58418518
0.543429202	0.569406845
0.533113777	0.585863773
0.539375163	0.587012466
0.535745296	0.593503259
0.545701274	0.590676901
0.551309698	0.588913359
0.530738533	0.589401918
0.552849353	0.592858382
0.541555626	0.594900433
0.538185624	0.600223658
0.530519188	0.576972848
0.529220242	0.589041531
0.537111111	0.596076754
0.535669479	0.589355152
0.528955542	0.592541028
0.541186956	0.590845668
0.539506513	0.589818285
0.530968225	0.59351149
0.544748271	0.590069679
0.536796291	0.58754448
0.53802217	0.587189048
0.535567518	0.595145288
0.546454528	0.584079504
0.534275166	0.591785062
0.534486321	0.594543065
0.535202999	0.589244711
0.542047739	0.586276046
0.545745836	0.59393159
0.538834867	0.586079671
0.535880042	0.587306409
0.531913958	0.590579605
0.542692037	0.591540111
0.543597733	0.582928719
0.524772018	0.590837692
0.535238266	0.593669094
0.534881369	0.59303548
0.538596828	0.588558223
0.53050063	0.591152097
0.536330828	0.587077966
0.533806684	0.584667297
0.541437841	0.583594372
0.531739218	0.594965806
0.533679151	0.577966018
0.534732031	0.588292317
0.541458236	0.587591069
0.535653244	0.590631531
0.533589745	0.58852825
0.543505796	0.585629191
0.534206599	0.591195796
0.53115293	0.590254661
0.533201538	0.590120679
0.534266762	0.583722548
0.526967166	0.591789232
0.537419351	0.592333826
0.534189831	0.589253689
0.538593559	0.590950043
0.528434007	0.585818308
0.526329217	0.593728224
0.537060588	0.585102997
0.533010846	0.590424942
0.528670264	0.594572307
0.528986438	0.591943904
0.536454639	0.586469521
0.539433425	0.585945478
0.529203227	0.589763951
0.535053571	0.591053296
0.540519437	0.584316535
0.535949286	0.585265616
0.533734257	0.588873007
0.529456624	0.5898705
0.532758935	0.588993347
0.536070578	0.585104029
0.527262453	0.584569297
0.53354299	0.585358742
0.532357568	0.586965715
0.534061289	0.584884422
0.538743845	0.591254856
0.52803128	0.587637651
0.533304069	0.591104725
0.533307388	0.588649105
0.528568427	0.591702036
0.528694719	0.593639437
0.532360031	0.591044716
0.531887256	0.589651946
0.530656238	0.591870169
0.526747159	0.578250282
0.5384599	0.591040824
0.529013363	0.587988872
0.533128899	0.585998828
0.529641024	0.592223437
0.528451491	0.588162188
0.538476795	0.585507676
0.536367884	0.5885782
0.543083992	0.594333607
0.532846138	0.580566726
0.534498806	0.588786445
0.533321899	0.589036074
0.53703501	0.57901813
0.524859102	0.580462195
0.533748885	0.587813816
0.536605656	0.592243894
0.539073669	0.588170933
0.533230584	0.59149803
0.53550074	0.579413973
0.535916464	0.588224018
0.535309381	0.58596023
0.53703633	0.590736686
0.533587773	0.593343895
0.531969461	0.588092114
0.535374694	0.585345734
0.533416092	0.591200852
0.538230588	0.594809441
0.541775018	0.58976067
0.522533686	0.590013983
0.532593447	0.589238881
0.533350985	0.588124487
0.535681467	0.580382962
0.536088568	0.589782637
0.527349781	0.590216335
0.533532369	0.588955202
0.531800725	0.589886716
0.530766763	0.584838127
0.53170907	0.587671662
0.532991556	0.588310537
0.531484386	0.585777725
