X	Y
0.534333446	0.586559395
0.527429403	0.58027787
0.529711912	0.577456213
0.535199228	0.579956313
0.5265086	0.582277397
0.535943255	0.584328846
0.536982483	0.587299828
0.534609128	0.583336563
0.533386926	0.580899381
0.531477831	0.582691257
0.536518599	0.585299994
0.533353605	0.586037539
0.530312921	0.579801232
0.53596191	0.586574848
0.541797504	0.581090828
0.534392364	0.578408781
0.530997016	0.58183675
0.534098273	0.580938016
0.530652861	0.581824495
0.53287936	0.588483439
0.531031352	0.582420762
0.536051792	0.587066467
0.534585428	0.579253643
0.529199935	0.582129248
0.530169092	0.581017102
0.529136086	0.581223688
0.529535499	0.58487795
0.531364864	0.588519883
0.537415629	0.587127258
0.532456148	0.582796745
0.531292597	0.583293309
0.529800006	0.582277876
0.533474737	0.585400289
0.526800972	0.584099398
0.528791608	0.58463757
0.530991284	0.590089711
0.529250681	0.58405088
0.535179125	0.589517414
0.535263596	0.587019117
0.535274485	0.587264617
0.528174238	0.584200268
0.532536122	0.591606673
0.520940503	0.583310294
0.526009708	0.586931512
0.526518668	0.584653957
0.536191422	0.590737947
0.529617093	0.584174295
0.52887557	0.585179969
0.542933203	0.594088856
0.544745362	0.593143007
0.539137957	0.588304643
0.541655541	0.593351303
0.540989121	0.581762107
0.539352114	0.58238121
0.540019367	0.584838877
0.539275125	0.586150519
0.542396658	0.592845746
0.534298602	0.584388463
0.543413388	0.592636334
0.534522065	0.585276064
0.533930605	0.581256913
0.531555715	0.583474612
0.530948027	0.582765067
0.528161909	0.585777588
0.52799502	0.583273142
0.532519015	0.585896517
0.532347698	0.585242218
0.529007696	0.586227561
0.536808018	0.581202267
0.537845456	0.587530145
0.52639774	0.586454661
0.529388914	0.585485301
0.535349539	0.59051608
0.534084057	0.590881781
0.532612269	0.589655964
0.530348101	0.590357705
0.530392635	0.584970393
0.529282892	0.584166028
0.532328179	0.590891459
0.530956363	0.591322575
0.531347961	0.590086427
0.526432265	0.587492289
0.529665807	0.589885879
0.532359307	0.594870308
0.52812438	0.586588375
0.527101861	0.584589289
0.527914992	0.586794335
0.525497198	0.586408837
0.534833341	0.593634546
0.529656324	0.588933395
0.524216135	0.586806461
0.522825011	0.589454375
0.524395036	0.586674487
0.520326707	0.588726307
0.519461718	0.587495584
0.521055944	0.591952644
0.527360555	0.585132276
0.529078866	0.582039111
0.528246097	0.585061925
0.532115692	0.583526342
0.53550816	0.583798231
0.54052099	0.583513481
0.537785201	0.582341723
0.535774077	0.58129257
0.52865536	0.584486526
0.527311052	0.584143362
0.52892816	0.585010202
0.532657237	0.591275825
0.531806695	0.582722172
0.529211503	0.58451597
0.532441103	0.582812119
0.533145414	0.583036615
0.52574988	0.584825814
0.526060884	0.586830214
0.527226604	0.586049092
0.526713321	0.587423875
0.532398633	0.584367553
0.537004778	0.58980779
0.530252315	0.584387942
0.535837784	0.591716591
0.532516894	0.589719743
0.526386221	0.585278037
0.529551686	0.592526055
0.524169089	0.587044576
0.537318434	0.590197228
0.537582148	0.58857479
0.533233036	0.585211837
0.53010635	0.587504369
0.532262743	0.590161538
0.530922442	0.592395625
0.528989236	0.593501177
0.521492083	0.586734444
0.527262112	0.586574876
0.529556283	0.588183456
0.530728197	0.586184483
0.528557562	0.587223518
0.523246903	0.58780683
0.524831353	0.588734305
0.525587123	0.592014159
0.525161599	0.592596564
0.531067459	0.592545467
0.531355307	0.595189795
0.531917134	0.592038715
0.531446754	0.593719088
0.542083648	0.586610681
0.538833434	0.587269108
0.543163501	0.585533294
0.540059083	0.587921962
0.537992208	0.584298684
0.536306313	0.584891922
0.536048727	0.58557928
0.533655617	0.585702819
0.544682231	0.58789673
0.540740895	0.589451675
0.542237124	0.586814116
0.541091056	0.589176338
0.536953981	0.584445868
0.537332763	0.586362596
0.5381927	0.583630399
0.538702595	0.584871136
0.538770596	0.591579624
0.539296276	0.589906791
0.542124401	0.588042106
0.537416178	0.589395994
0.535723143	0.589834136
0.533112337	0.588528008
0.535549363	0.587085483
0.534781845	0.58951622
0.537818923	0.589461648
0.534594914	0.589091609
0.533470017	0.585473215
0.5296725	0.583699673
0.529967284	0.586357104
0.531038231	0.585563971
0.535228968	0.589018799
0.533502381	0.589449684
0.529900891	0.587599432
0.534360129	0.592853199
0.535282239	0.589933377
0.532971774	0.590631995
0.534764117	0.590034632
0.533608901	0.591658105
0.534453473	0.590179037
0.533977717	0.589441127
0.534297779	0.593841625
0.531876222	0.59256901
0.530945411	0.592495433
0.526799862	0.593658268
0.533844727	0.592344336
0.532272	0.592716779
0.528302214	0.588032656
0.530528157	0.594339229
0.536160445	0.587332091
0.534878825	0.588249316
0.532073509	0.589755513
0.535579216	0.587798752
0.536883093	0.585421446
0.536102262	0.588049156
0.540590353	0.592166026
0.537168518	0.589628266
0.535492093	0.587981952
0.535719358	0.586021714
0.536931164	0.590163414
0.540153427	0.589315188
0.542326304	0.586224832
0.538823296	0.588168876
0.534911994	0.584507489
0.534396731	0.583261686
0.530167685	0.587419942
0.530633278	0.585430016
0.534141733	0.589934921
0.534286361	0.591905476
0.536476408	0.589999802
0.535492553	0.587554386
0.537451642	0.58956612
0.537165657	0.591651321
0.534479577	0.592221924
0.53012301	0.59170859
